Parent,Child,Conversion,Child Description,Child UOM
0720095,0720095EA,50,PLT 96-WELL U-BTM .33ML,EA
0720096,0720096EA,50,PLT 96-WELL V-BTM .29ML,EA
07200961,07200961PK,10,1D/2D VIAL2.0ML WCAP EXT BL5PK,PK
0720098,0720098PK,4,PLT MICR 96-WL FLT STYR 25/PK,PK
0720098,0720098EA,100,PLT MICR 96-WL FLT STYR 1/EA,EA
07201015,07201015PK,5,PLTASSAY384WLCORNING R CEL20PK,PK
07201153,07201153EA,12,SPINNER FLASK 500ML EA,EA
07201201,07201201PK,4,WH NBS 96W HLF ARE PL 25/PK,PK
07201210,07201210PK,10,0.2ML PCR STRP 1X8CLR NS 125PK,PK
07201211,07201211PK,10,0.2ML PCR STRP RTPCR NS 125/PK,PK
07201212,07201212PK,10,0.2ML PCR CAP DM CLEAR 125/PK,PK
07201215,07201215PK,5,96 WELL FL SKT PCR CLR 10/PK,PK
0720124,0720124PK,5,ASSAY PLATE 384WL 10/PK,PK
07201320,07201320PK,5,PLT 384W WT TCT STER LID 10/PK,PK
07201330,07201330PK,20,15ML CENTRFUG TB STERIL 25/PK,PK
07201332,07201332PK,20,50ML CENTRFUG TB STERIL 25/PK,PK
07201426,07201426EA,48,STORAGE BOTTLE 250ML PET 1/EA,EA
07201427,07201427EA,24,STORAGE BOTTLE 500ML PET 1EA,EA
07201428,07201428EA,24,STORAGE BOTTLE 1000ML PET 1EA,EA
07201588,07201588PK,20,6WL PLATE NONTREATED 5PK,PK
07201590,07201590PK,20,24WL PLATE NONTREATED 5PK,PK
07201763,07201763PK,100,PEPETIPS 1000UL NS RCK 10/PK,PK
07201883,07201883PK,5,MICROPLATE SEALING TAPE 100PK,PK
0720194,0720194PK,10,96WLPLT ST CELBND FLTCLR 5/PK,PK
0720196,0720196EA,50,96WLPLT ST CELBND FLTBLK,EA
07201981,07201981PK,50,PETRI DISH 100X25MM 10/PK,PK
07202000,07202000PK,20,FLASK 75CM2 U-SHAPE VENT 5/PK,PK
07202001,07202001PK,20,FLASK 75CM2 U-SHAPE PLUG 5PK,PK
07202003,07202003PK,20,FLASK 75CM2 U-SHAPE VENT 5/PK,PK
07202004,07202004PK,20,VNTFLSK75CM CLLBND LEAD 5/PK,PK
07202030,07202030PK,25,PETRIDISHPSNAT3VNTASEPTIC 33PK,PK
07202031,07202031PK,25,RNDPETRIDSH PS NAT 3 S 33/PK,PK
07202042,07202042PK,25,ROUND PETRI PLATE STRL 33/PK,PK
07202060,07202060PK,6,OCTAGONAL BOTTL 250ML PET 24PK,PK
07202124,07202124EA,12,PLASTIC FUNNEL 100MM EA,EA
07202150,07202150PK,12,MINI BIOREACT 50ML CT 25/PK,PK
07203510,07203510PK,12,CENTRIFE TUBE CAPRACK 25/PK,PK
07250056,07250056EA,12,70000 BKR PYRX VST 250ML 1/EA,EA
07678001,07678001EA,4,ETHANOL 140 PROOF TAX-PAID1EA,EA
07678006,07678006EA,24,ETHYL ALCHL 200 PRF GLASS 1EA,EA
07770212,07770212EA,12,PRX VSTA PETRI DSH 60X15 1EA,EA
07770216,07770216EA,12,PRX VSTA PETRI DSH 150X20 EA,EA
07781H,07781HEA,100,CORKS XXX NO 5,EA
08100240,08100240EA,100,CELL LIFTER INDIV WRAP 1/EA,EA
08100241,08100241EA,100,CELL SCRAPER INDIV WRAP 1/EA,EA
08100242,08100242EA,100,CELL SCRAPER LG INDIV 1/EA,EA
0854911C,0854911CEA,12,CYL CLA WHIT DBL SCL 100ML,EA
0854911L,0854911LEA,8,CYL CLA TD DBL BLU SCL 5 1/EA,EA
0854917A,0854917AEA,6,CYLINDER GR W/BMPR 10ML,EA
0854917D,0854917DEA,6,CYLINDER GR W/BMPR 100ML,EA
085492E,085492EEA,4,CYLINDER 100ML,EA
085495B,085495BEA,4,CYLINDER GRAD 10ML,EA
085495C,085495CEA,4,CYLINDER GRAD 25ML,EA
085495D,085495DEA,4,CYLINDER GRAD 50ML,EA
085495E,085495EEA,4,CYLINDER GRAD 100ML,EA
085495G,085495GEA,2,CYLINDER GRAD 250ML,EA
08549C,08549CEA,4,CYLINDER BL GR W/BMP 25ML,EA
08549D,08549DEA,4,CYLINDER BL GR W/BMP 50ML,EA
08549E,08549EEA,4,CYLDR BL GR W/BMP 100ML,EA
08549G,08549GEA,2,CYLDR BL GR W/BMP 250ML 1/EA,EA
08550C,08550CEA,4,25MLCYL\CLB\GRD\140MTODLVR 1EA,EA
08555A,08555AEA,4,CYLINDER WHITE LINE 10ML 1EA,EA
085571A,085571AEA,2,CYLIND WH ENAM 10ML 1/EA,EA
0856615G,0856615GEA,4,CYL TC GRAD W/SPOUT 1L 1/EA,EA
08732113,08732113PK,2,WEIGH DISH PS MEDIUM 250/PK,PK
08732115,08732115PK,2,WEIGH DISH PS LARGE 250/PK,PK
08732120,08732120PK,5,DISPOSABLE BEAKER 20ML 100/PK,PK
08732121,08732121PK,10,DISPOSABL BEAKER 10ML 100/PK,PK
08741A,08741AEA,6,DISH CRYSTALLIZING 70MM,EA
08741B,08741BEA,6,DISH CRYSTALLIZING 80MM,EA
08741C,08741CEA,6,DISH CRYSTALLIZING 90MM,EA
08741D,08741DEA,6,DISH CRYSTALLIZING 100MM,EA
08741E,08741EEA,4,DISH CRYSTALLIZING 125MM,EA
08741F,08741FEA,4,DISH CRYSTALLIZING 150MM,EA
08741G,08741GEA,2,DISH CRYSTALLIZING 170MM,EA
08741H,08741HEA,2,DISH CRYSTALLIZING 190MM,EA
08747A,08747AEA,12,DISH PETRI 60X15MM,EA
08747B,08747BEA,12,DISH PETRI 100X10MM,EA
08747C,08747CEA,12,DISH PETRI 100X15MM,EA
08747D,08747DEA,12,DISH PETRI 100X20MM,EA
08747E,08747EEA,12,DISH PETRI 150X15MM,EA
08747F,08747FEA,12,DISH PETRI 150X20MM,EA
08757100A,08757100APK,25,PETRI DISH 35X10MM 20PK,PK
08757100B,08757100BPK,25,PETRI DISH 60X15MM 20/PK,PK
08757100D,08757100DPK,25,PETRI DISHES 100X15MM 20/PK,PK
08757105,08757105PK,25,PETRI DISH 50X9MM 20/PK,PK
0875710E,0875710EPK,6,DISH PETRI 150X25MM DEEP 12/PK,PK
0875710K,0875710KPK,25,DISH PETRI 100X15MM ST 20/PK,PK
08757148,08757148PK,10,PETRI DISH 150X15MM 10/PK,PK
08757152,08757152PK,25,RDAC PLT ST 65X15 20/PK,PK
08757168,08757168PK,20,DISH 60X15MM W/2MM GRD 25/PK,PK
08757210,08757210PK,20,ROLLER BOTTLE TISSUE CLTR 2/PK,PK
08757214,08757214PK,10,MULTIPLE WELL PLATE TC 5/PK,PK
08757215,08757215PK,10,MULTIPLE WELL PLATE TC 5/PK,PK
08757216,08757216PK,10,MULTIPLE WELL PLATE TC 5/PK,PK
08757313,08757313PK,10,2ML ASPIRATING PIPETTE 50PK,PK
08757500,08757500PK,10,FLASK 25CM NON TREATED 20/PK,PK
08757503,08757503PK,10,FLASK 175CM NON TREATED 5/PK,PK
087621,087621EA,18,DISH CRYSTALLIZ 100X50MM,EA
087711,087711EA,50,CELL STRAINER STRL 40UM,EA
0877119,0877119EA,50,CELL STRAINER STRL 100UL 1EA,EA
087711A,087711AEA,100,CELL SCRAPER 18CM 1/EA,EA
087711B,087711BEA,100,CELL SCRAPER 25CM,EA
087712,087712EA,50,CELL STRAINER 70UM STER,EA
0877123,0877123PK,20,CELL STRAINER CP NS 5ML 25PK,PK
0877126,0877126PK,10,FT BTM OPAQUE 96 WELL 5/PK,PK
087721,087721EA,50,TISSUE CULT PLATE 24WEL,EA
0877217,0877217EA,50,TC BTM PLT W/L EVAP LID,EA
087721B,087721BEA,50,TISSUE CULT PLATE 6WELL,EA
087721C,087721CEA,50,PLATE TC PS STRL 48 WELL,EA
087721G,087721GPK,6,PLATE 6 WELL TC 6/PK,PK
0877220,0877220PK,25,TIS CULT DISH 35X10MM 20/PK,PK
0877221,0877221PK,25,TIS CULT DISH 60X15MM 20/PK,PK
08772212,08772212PK,4,96WL STORG PLT PP 340UL 25/PK,PK
0877222,0877222PK,25,TIS CULT DISH 100X20MM 20/PK,PK
08772225,08772225PK,4,PLT 96W BLK/CLR IMG TC 8/PK,PK
0877223,0877223PK,48,TIS CULT DISH 100X20MM 10/PK,PK
0877224,0877224PK,12,TIS CUL DISH 150X25MM 5/PK,PK
0877225,0877225PK,12,SUSPENSN DISH 150X25MM 5/PK,PK
0877229,0877229EA,50,TC PLATE 12 WELL PS,EA
087722C,087722CEA,50,TC PLATE W/LID 96 WELLS,EA
087723,087723PK,10,TC PLATE W/LIDS 96 WELL 5/PK,PK
0877231,0877231PK,25,CULT DISH SUSP 60X15MM 20EA/PK,PK
0877233,0877233PK,6,TC PLATE 6 WELL BULK TRAY10PK,PK
087723A,087723APK,6,BULK PKGD PLATE 12 WELL 6/PK,PK
087723B,087723BPK,10,BULK PKG PLTE 96WL W/LID 5/PK,PK
087723D,087723DPK,6,BULK PKG PLATE 48WL 6/PK,PK
0877248,0877248PK,8,FLSK TC 5000 PS VNT CAP 5/PK,PK
0877249,0877249EA,50,PLT 6WEL NON-TC FL BT PS 1/EA,EA
087724G,087724GEA,50,CULT PLATE W/LID 24WELL 1/EA,EA
087724J,087724JEA,50,CULT PLATE W/LID 6 WELL,EA
087724K,087724KEA,50,TC PLATE W/CAP 96-WELL 1/EA,EA
087725,087725PK,10,ASSAY PLATE 96WELL BTM 5/PK,PK
0877250,0877250EA,50,PLT 12WEL NO-TC FL BT PS,EA
0877251,0877251PK,50,PLT 24WEL NO-TC FL BT PS 1/EA,EA
0877252,0877252EA,50,PLT 48WEL NO-TC FL BT PS 1EA,EA
0877253,0877253EA,50,PLT 96WEL NO-TC FL BT PS 1/EA,EA
0877254,0877254EA,50,PLT 96WEL NO-TC U BTM PS 1EA,EA
087726,087726PK,10,DISH INTEGRI T/C 150X25 10/PK,PK
0877260,0877260PK,10,BCT PDL T75 VNTD CAP FLSK 5/PK,PK
0877269,0877269PK,10,BCT COL I 6-WELL PLATES 5PK,PK
0877270,0877270PK,10,BCT COL I 12-WELL PLATES 5PK,PK
0877271,0877271PK,10,BCT COL I PLATE 24 WELL 5PK,PK
0877272,0877272PK,10,BCT COL I 96-WELL PLATES 5PK,PK
08772A,08772APK,25,DISH TISSUE/C 35X10MM 20PK,PK
08772B,08772BPK,25,DISH TISSUE/C 60X15MM 20/PK,PK
08772E,08772EPK,10,DISH TISSUE/C 100X20MM 20/PK,PK
08772F,08772FPK,25,DISH 60X15 EASY GRIP 20/PK,PK
08774256,08774256PK,10,BIOCOAT 96WEL PLT BLK CLR 5/PK,PK
08774268,08774268PK,10,BIOCOAT PDL 6WELL PLATES 5/PK,PK
08774270,08774270PK,10,BIOCOAT PDL 12WELL PLATE 5/PK,PK
08774271,08774271PK,10,BIOCOAT PDL 24WELL PLATE 5/PK,PK
08774272,08774272PK,10,BIOCOAT PDL 96WELL PLATE 5/PK,PK
08774288,08774288PK,10,BCT PDL 48W PL 5/PK,PK
08774298,08774298PK,10,BIOCT WH OPQE 96W PLT PDL 5PK,PK
08774318,08774318PK,10,BCT PDL 96W WHT/CLR PLTE 5/PK,PK
08774320,08774320PK,10,BCT PDL 384W WHT/OPQ PLT 5/PK,PK
08774322,08774322PK,10,BCT PDL 384W BLK/CLR PLT 5/PK,PK
08774330,08774330EA,5,BCT COL I T175 VNT CP FLS 1EA,EA
08774337,08774337PK,10,BCT COL I T75 VNTCP FLSK 5/PK,PK
08774338,08774338PK,8,BCT COL I T150 VNTCP FLS 5/PK,PK
08774339,08774339PK,8,BCT COL I T175 VNTCP FLS 5PK,PK
08774344,08774344PK,8,BCT PDL T175 VNT CP FLSK 5PK,PK
08774357,08774357PK,2,FLSK T175ECM MIMETICCOL IP 5PK,PK
08789,08789PK,4,HTS LIBRY STORAGE PLATE 25/PK,PK
0891519,0891519EA,50,BLADE RIB BACK SS STL 22,EA
089165A,089165AEA,100,DISSECT BLADE NO. 10,EA
089275A,089275AEA,20,SCALPEL DISPOSABLE NO10 1/EA,EA
089275B,089275BEA,20,SCALPEL DISPOSABLE NO11,EA
089275D,089275DEA,20,SCALPEL DISPOSABLE NO21,EA
08965A,08965AEA,12,DISSECT NEEDLE STRAIGHT 1EA,EA
09320300,09320300EA,3,PAPER ROLL SELF-ADHESIVE 1EA,EA
093288,093288EA,6,CONDUCT ONE-SHT 1000UMHOS,EA
093289,093289EA,6,CONDUCT 1-SHOT 10000UMHOS,EA
0935768,0935768EA,5,PH10 BUFFER 1X60ML,EA
0935769,0935769EA,5,PH4 BUFFER 1X60ML,EA
0935770,0935770EA,5,PH7 BUFFER 1X60ML,EA
0939021,0939021EA,8,CALIBRATOR SOL IMUMHO 1X1PT/EA,EA
0939022,0939022EA,8,CALIBRATR SOL 10MUMHO 1X1PT/EA,EA
09740100,09740100EA,100,SYR FLTR PES 0.2UM 13MM ST 1EA,EA
09740117,09740117PK,5,SYRNG FLTR NYL 0.2UM 25MM100PK,PK
09740118,09740118PK,5,SYRINGE FLTR NYL 0.45UM 25MM,PK
09740119,09740119PK,5,SYRINGE FLTR PTFE 0.2UM 25MM,PK
09740120,09740120PK,5,SYRINGE FLTR PTFE 0.45UM 25MM,PK
097401A,097401AEA,12,FILT UN STL .20UM 150ML,EA
0974021B,0974021BEA,12,FILTER UNIT ANAL .45UM 1EA,EA
0974024A,0974024AEA,12,FLTR UN TC .20UM 250ML,EA
0974025A,0974025AEA,12,FILTER UNIT .20UM 500ML,EA
0974025B,0974025BEA,12,FILTER UNIT .45UM 1EA,EA
0974025C,0974025CEA,12,FILTER UN RECEIVR 500ML,EA
0974025D,0974025DEA,24,FILTER UN RECOVR 150ML 1EA,EA
0974025E,0974025EEA,24,FILTER UN RECEIVR 250ML,EA
0974025F,0974025FEA,12,FILTER UN RECEIV 1000ML 1EA,EA
0974026A,0974026AEA,12,FLTR UN TC .20UM 1000ML 1/EA,EA
0974026B,0974026BEA,12,FLTR UN TC .45UM 1000ML 1/EA,EA
0974028C,0974028CEA,12,FLTR UNIT TC .20UM 500ML 1/EA,EA
0974028D,0974028DEA,12,FLTR UNIT TC .45UM 500ML 1/EA,EA
0974028E,0974028EEA,12,FILTR UN TC .20UM 150ML 1/EA,EA
0974028F,0974028FEA,12,FILTER UN TC .45UM 150ML 1EA,EA
097402A,097402AEA,12,FILT UN STL .20UM 250ML 1EA,EA
097402B,097402BEA,12,FILT UN STL .45UM 250ML 1/EA,EA
0974030K,0974030KEA,50,FLTR FNL CN 0.45MIC 250ML 1/EA,EA
0974031F,0974031FEA,12,FILTR UN TC .20UM 150ML,EA
0974032,0974032EA,12,FLT TC LRG ST .2UM 500ML,EA
0974036K,0974036KEA,12,FLTR UNIT CN .2UM 115ML 1/EA,EA
0974036L,0974036LEA,12,FLTR UNIT CN .45UM 115ML 1EA,EA
0974039A,0974039AEA,12,FILTR UN TC .20UM 1/EA,EA
0974039B,0974039BEA,12,FILTR UN TC .45UM 250ML 1/EA,EA
097403A,097403AEA,12,FILT UN STL .2UM 1000ML 1/EA,EA
097403B,097403BEA,12,FILT UN ST .45UM 1000ML 1/EA,EA
097403C,097403CEA,12,FILT UN ST .80UM 1000ML 1/EA,EA
0974040A,0974040AEA,12,FILT UN TC .20UM 1000ML 1/EA,EA
0974040B,0974040BEA,12,FILT UN TC .45UM 1000ML 1/EA,EA
0974043A,0974043AEA,12,FLT UNT MDIA PLS .2UM 1L 1/EA,EA
0974043B,0974043BEA,12,FLTR MEDIA PLUS .45UM 1L 1/EA,EA
0974044A,0974044AEA,12,SERM FLT UNT .20UM 500ML  1EA,CS
0974046,0974046EA,12,1L FILTER 0.20UM STERILE 1/EA,EA
0974063A,0974063AEA,12,FLT UNIT 50MM 150ML PES 1EA,EA
0974063B,0974063BEA,12,FLT UNIT 50MM 500ML PES 1/EA,EA
0974063C,0974063CEA,12,FLT UNIT 90MM 1LTR PES 1EA,EA
0974063D,0974063DEA,12,FLT UNIT 50MM 250ML PES,EA
0974063E,0974063EEA,12,FLT UNIT 90MM 500ML PES,EA
0974064B,0974064BEA,12,FLT 500ML 45MM NECK PES 1EA,EA
0974101,0974101EA,12,FLTR UTA-PES150ML50D.2 1EA,EA
0974102,0974102EA,12,FLTR UTA-PES500ML75D.2 EACH,EA
0974103,0974103EA,12,FLTR UTA-PES1L90MM0.2,EA
0974104,0974104EA,12,FLTR UTA-PES250ML50D.2 EACH,EA
0974105,0974105EA,12,FLTR UTA-PES500ML90D.2 1/EA,EA
0974106,0974106EA,12,FLTRBTPA-PES33MM500ML,EA
0974107,0974107EA,12,FLTRBTPA-PES45MM500ML EACH,EA
0974108,0974108EA,12,FLTRBTPA-PES33MM150ML,EA
0974109,0974109EA,12,FLTRBTPA-PES45MM150ML 1EA,EA
0974111,0974111EA,12,FLTRBTLTPA-PES45MM1L 1/EA,EA
09741201,09741201EA,12,LTR PES 250ML 0.1UM 1EA,EA
0974188,0974188EA,12,FLTR UNIT A-PES 50ML 1/EAFLTR,EA
0974475,0974475PR,5,VACU-GUARD 2/PR,PR
0974479,0974479EA,10,HEPA-VENT 1/EA,EA
0975413,0975413EA,50,SYR FLT 26MM .2SFCA STRL,EA
0975421,0975421EA,50,SYR FLT 26MM .45SFCA STR,EA
097611,097611EA,12,SYS FILTR .22UM STR DSP,EA
0976110,0976110PK,12,BOTTTLE DISP STERIL 500ML 2/PK,PK
0976110,0976110EA,24,BTL DISP STERIL 500ML 1/EA,EA
09761102,09761102EA,12,FIL SYS 500ML .22UM 70MM 1EA,EA
09761106,09761106EA,12,FLT PES 250/250 .22UM,EA
09761107,09761107EA,12,FLT PES 500/500 .22UM,EA
09761108,09761108EA,12,FLT PES 1 L/1 L .22UM 1/EA,EA
0976111,0976111PK,12,BOTTLE STORAGE 1 LITER 2/PK,PK
0976111,0976111EA,24,BTL STORAGE 1 LITER,EA
09761112,09761112EA,12,FLT PES B/T 45MM .22UM 1/EA,EA
09761113,09761113EA,20,BTL RLR 850CM2 INDST STR EA,EA
09761116,09761116PK,5,ASSAY BLOCK 1ML PP STR 5/PK,PK
09761116,09761116EA,25,ASSAY BLOCK 1ML PP STR 1EA,EA
09761116A,09761116APK,20,ASSAYBLOCK 1ML NEBSTER 5/PK,PK
09761118,09761118EA,12,FLTR SYST 150ML .22 PES 1EA,EA
09761119,09761119EA,12,FLTR SYST 150ML .22 CA,EA
09761120,09761120EA,12,FLTR SYST 150ML .45 CA 01/EA,EA
09761140,09761140PK,12,BOTTLE STORAGE 150ML STR 2/PK,PK
09761140,09761140EA,24,BOTTLE STORAGE 150ML STR 1EA,EA
09761141,09761141EA,12,1L FLTR SYS W/500ML FNL .22CA,EA
09761142,09761142EA,12,1L FLTR SYS W/500ML FNL .45CA,EA
09761145,09761145PK,5,96 WELL TC CLSTR STERILE 10/PK,PK
09761146,09761146EA,50,24 WELL TC CLSTR STERILE,EA
09761147,09761147EA,12,500ML BTL TP 45MM .20NY 1EA,EA
097612,097612EA,12,SYS FILTR .22UM STL DSP,EA
0976123,0976123PK,6,HYPERFLASK M 4/PK,PK
097613,097613EA,12,SYS FILTR .45UM STR DSP,EA
0976131,0976131EA,12,DISP SPINNER FLASK 500ML EA,EA
0976134,0976134EA,12,FLTR TUBE TOP 50ML 22UM 1/EA,EA
0976135,0976135EA,12,FLTR TUBE TOP 50ML 45UM 1 EA,EA
0976138,0976138EA,12,BTL TOP FILTER .22UM 1L 1/EA,EA
097614,097614PK,12,BTL DISP STERIL 250ML 2/PK,PK
0976140,0976140EA,12,FILTER FUNNEL 1L 90MM,EA
0976141,0976141EA,12,FILTER CA .45 1 LITER 1 EA,EA
0976141,0976141PK,12,FILTER CA .45 1 LITER 1/PK,PK
0976142,0976142EA,12,FILTER SYSTEM NY .20 1L,EA
097615,097615EA,12,SYS FILTR .22UM STR DSP,EA
0976152,0976152PK,12,BTL TOP FILTER .22UM MEM 1PK,PK
097617,097617EA,12,SYS FILTR .45UM STR DSP 1 EA,EA
0976170,0976170PK,10,CONCL BT CRYOVIAL 1.2ML 50/PK,PK
0976171,0976171PK,10,RD BTM CRYOVIAL SS 2ML 50/PK,PK
0976172,0976172PK,10,CRYOGENIC VL RBW/CAP 2ML 50/PK,PK
0976173,0976173PK,10,CRYOGENIC VL RBW/CAP 4ML 50/PK,PK
0976174,0976174PK,10,CRYOGENIC VL RBW/CAP 5ML 50/PK,PK
097618,097618EA,12,SYS FILTR .22UM STL DSP,EA
0976186,0976186PK,5,PLT384WL BLK SLID NBS NS 10PK,PK
0992316A,0992316APK,4,BOTTLE MEDIA SQUAR 125ML 24/PK,PK
0992316A,0992316AEA,96,BOTTLE MEDIA SQUAR 125ML 1/EA,EA
0992316B,0992316BPK,2,BOTTLE MEDIA SQUAR 500ML 20/PK,PK
0992316B,0992316BEA,40,BOTTLE MEDIA SQUAR 500ML 1/EA,EA
0992316C,0992316CPK,2,BOTTLE MEDIA SQ 1000ML 12/PK,PK
0992316C,0992316CEA,24,BOTTLE MEDIA SQ 1000ML 1/EA,EA
0992316D,0992316DEA,12,BOTTLE MEDIA SQ 2000ML 1/EA,EA
0992316E,0992316EPK,2,BOTTLE MEDIA SQ 250ML 30/PK,PK
0992316E,0992316EEA,60,BOTTLE MEDIA SQ 250ML 1/EA,EA
0992727D,0992727DPK,10,SYR FLT 25MM .45UM NYL 150/PK,PK
0992743A,0992743AEA,50,STERILE SYRINGE FLTR .2UM 1EA,EA
0992743B,0992743BEA,50,SYR FL 25MM .45U PES STR EA,EA
10039B,10039BEA,12,FLASK ERLENM NM 25ML,EA
10039C,10039CEA,12,FLASK ERLENM NM 50ML,EA
10039D,10039DEA,12,FLASK ERLENM NM 125ML,EA
10039F,10039FEA,12,FLASK ERLENM NM 250ML,EA
10039H,10039HEA,6,FLASK ERLENM NM 500ML,EA
10039K,10039KEA,24,FLASK ERLENM NM 1000ML,EA
10039M,10039MEA,4,FLASK ERLENM NM 2000ML,EA
10040A,10040AEA,12,FLASK ERLEN 10ML,EA
10040B,10040BEA,12,FLASK ERLENMEYER 25ML,EA
10040C,10040CEA,12,FLASK ERLENMEYER 50ML,EA
10040D,10040DEA,12,FLASK ERLENM 125ML,EA
10040F,10040FEA,12,FLASK ERLENM 250ML,EA
10040H,10040HEA,6,FLASK ERLENM 500ML,EA
10040K,10040KEA,6,FLASK ERLENM 1000ML,EA
1004110F,1004110FEA,2,FLASK ERLEN PP 2000ML 1/EA,EA
1004118,1004118EA,50,ERLENMEYER FLASK 250ML,EA
1004120,1004120EA,24,STRL DISPFLSK 125ML PETG,EA
100418,100418EA,50,FLASK ERL STL PC 125ML,EA
100418B,100418BEA,25,FLASK ERL STL PC 500ML,EA
100672F,100672FEA,2,FLASK TS 24/40 500ML,EA
100672G,100672GEA,2,FLASK TS 24/40 1000ML 1EA,EA
10067C,10067CEA,2,FLASK TS 24/40 100ML,EA
10067E,10067EEA,2,FLASK TS 24/40 250ML,EA
10067G,10067GEA,2,FLASK TS 24/40 500ML,EA
10090C,10090CEA,6,FLASK ERLENM 500ML,EA
10100D,10100DEA,2,FLASK ERLENM 125ML 1/EA,EA
10101103,10101103PK,4,SEROLOGICAL PIPET 10ML 50/PK,PK
10101104,10101104PK,8,SEROLOGICAL PIPET 25ML 25/PK,PK
10101105,10101105PK,4,SEROLOGICAL PIPET 50ML 25/PK,PK
10101115,10101115PK,4,SEROLOGICAL PIPET 5ML 50PK,PK
10101125,10101125PK,8,SEROLOGICLPIPET10ML SHORT 25PK,PK
10101126,10101126PK,4,SEROLOGICLPIPET25ML SHORT 25PK,PK
10101141,10101141PK,4,WOBBLENOT 50ML PLASTIC 25PK,PK
1012610,1012610PK,5,FLASK W/VENT 70ML 25CM 20/PK,PK
1012611,1012611PK,20,FLSK W/VENT STR NCK 250ML 5PK,PK
1012613,1012613PK,8,FLSK W/VENT 750ML 175CM 5/PK,PK
101261C,101261CPK,10,TISSUE CULT FLASK 50ML 20/PK,PK
1012628,1012628PK,10,FLSK 25CM W/MEMBRN CAP 20/PK,PK
1012630,1012630PK,25,FLASK 25CM2 CANTED NECK 20/PK,PK
1012632,1012632PK,10,FLASK 150CM2 CANTED NECK 5/PK,PK
1012633,1012633PK,10,FLASK 150CM2 W/PHEN CAP 5/PK,PK
1012634,1012634PK,10,FLSK 150CM W/MEMBRN CAP 5/PK,PK
1012638,1012638EA,4,FERNBACH CUL FLSK 3L PC STR,EA
1012640,1012640EA,4,FRNBH CU FLSK 3LPC STR BAFB,EA
1012642,1012642EA,6,ERLENMEYER FLASK 2L PC,EA
1012643,1012643EA,6,ERLENMEYER FLSK 2L PC BAFB 1EA,EA
1012661,1012661PK,10,FLASK W/VENT CAP 175CM 5/PK,PK
1012662,1012662PK,5,CAP FLSK PLUG SEAL 225CM 5/PK,PK
101269,101269PK,5,FLASK W/VENT 50ML 25CM 20/PK,PK
10180B,10180BEA,6,FLASK FILTERING 50ML,EA
10180C,10180CEA,6,FLASK FILTERING 125ML,EA
10180D,10180DEA,6,FLASK FILTERING 250ML,EA
10180E,10180EEA,6,FLASK FILTERING 500ML,EA
10180F,10180FEA,6,FLASK FILTERING 1000ML,EA
10181A,10181AE,18,FLASK FILTERING 25ML,EA
10181B,10181BEA,6,FLASK FILTERING 50ML,EA
10181D,10181DEA,6,FLASK FILTERING 250ML,EA
10181E,10181EEA,6,FLASK FILTERING 500ML,EA
10181F,10181FE,6,FLASK FILTERING 1000ML,EA
101991H,101991HEA,6,FLASK VOLUMETR 1000ML,EA
1020036,1020036EA,12,FLASK BLUE SCALE 250ML,EA
10209A,10209AEA,12,FLASK VOLUMETRIC 10ML,EA
10209B,10209BEA,6,FLASK VOLUMETRIC 25ML,EA
10209C,10209CEA,6,FLASK VOLUMETRIC 50ML,EA
10209D,10209DEA,6,FLASK VOLUMETRIC 100ML,EA
10209F,10209FEA,6,FLASK VOLUMETRIC 250ML,EA
10209M,10209MEA,12,FLASK VOLUMETRIC 5ML,EA
10210665,10210665EA,6,BEAKER 1L PLASTIC 1EA,EA
10210A,10210AEA,6,FLASK VOLUMETRIC 25ML,EA
10210B,10210BEA,6,FLASK VOLUMETRIC 50ML,EA
10210C,10210CEA,6,FLASK VOLUMETRIC 100ML,EA
10210E,10210EEA,6,FLASK VOLUMETRIC 250ML,EA
10210F,10210FEA,6,FLASK VOLUMETRIC 500ML,EA
102125J,102125JEA,12,FLASK VOLUMETRIC 250ML 1/EA,EA
10280,10280EA,10,FORCEPS STGT STAINLESS EACH,EA
10310235,10310235EA,6,HVY DUTY CLASS A VOL FLSK 10ML,EA
10310237,10310237EA,6,HVY DUTY CLASS A VOL FLSK 25ML,EA
10320727,10320727EA,10,TIPS 200UL NAT HR LR ST 96EA,EA
10320729,10320729PK,8,TIPS 1000XT NAT XLNGTH 96/PK,PK
10322B,10322BEA,6,FUNNEL CHEM FILTR 45MM,EA
10322D,10322DEA,12,FUNNEL CHEM FILTR 65MM,EA
10322E,10322EEA,12,FUNNEL CHEM FILTR 75MM,EA
10322G,10322GEA,6,FUNNEL CHEM FILTR 100MM,EA
10325C,10325CEA,12,FUNNEL CHEM FILTER 75MM,EA
10329A,10329AEA,12,FUNNEL FILTERING 50MM,EA
10329B,10329BE,12,FUNNEL PYREX 65 FLUTED ST STEM,EA
10329C,10329CE,12,FUNNEL PYREX 75 FLUTED ST STEM,EA
103465A,103465AE,6,FUNNEL POWDER 60MM,EA
103465B,103465BEA,6,FUNNEL POWDER 80MM,EA
103465C,103465CEA,6,FUNNEL POWDER 100MM,EA
103465D,103465DEA,2,FUNNEL POWDER 125MM 1EA,EA
103467A,103467AEA,12,STR DSP PETG FLSK PBT250ML,EA
103467B,103467BEA,12,STR DSP PETG FLSK PBT500ML 1EA,EA
